Announced,Implemented,Addition,Addition Ticker,Removal,Removal Ticker,Removal Type,Reason for Removal,
12/29/1999,1/5/2000,Young & Rubicam,YNR,General Instrument Corp,GIC,M&A,Acquisition by Motorola,
1/24/2000,1/28/2000,Harley-Davidson,HDI,Fleetwood Enterprises,FLE,Failure,Lack of representation,
1/24/2000,1/28/2000,"Biogen, Inc",BGEN,Foster Wheeler,FWC,Failure,Lack of representation,
1/26/2000,1/28/2000,Conexant Systems,CNXT,Consolidated Natural Gas,CNG,M&A,Bought by Dominion Resources,
3/8/2000,3/15/2000,Sabre Holdings Corp,TSG,Service Corp. International,SRV,Failure,Lack of representation,
3/27/2000,3/31/2000,Linear Technology Corp,LLTC,"Pharmacia & Upjohn, Inc",PNU,M&A,Merger with Monsanto,
3/29/2000,3/31/2000,Veritas Software,VRTS,Pep Boys,PBY,Failure,Lack of representation,
4/12/2000,4/17/2000,Altera Corp,ALTR,Atlantic Richfield,ARC,M&A,Acquisition by BP Amoco,
4/12/2000,6/5/2000,Convergys Corp,CVG,Times Mirror,TMC,M&A,Acquisition by Tribune Company,
5/1/2000,5/4/2000,"Siebel Systems, Inc",SEBL,CBS Corp,CBS,M&A,Acquisition by Viacom,
5/2/2000,5/9/2000,Maxim Integrated Products,MXIM,Jostens Inc,JOS,M&A,Acquisition by Investcorp,
5/3/2000,5/4/2000,Sapient Corp,SAPE,Reynolds Metals,RLM,M&A,Acquisition by Alcoa,
5/11/2000,6/16/2000,MedImmune Inc,MEDI,Central & South West,CSR,M&A,Acquisition by American Electric Power,
5/25/2000,6/2/2000,Agilent Technologies,A,NACCO Ind. Cl. A,NC,Failure,Lack of representation,
5/25/2000,6/21/2000,Sanmina Corp,SANM,Warner-Lambert,WLA,M&A,Acquisition by Pfizer,
5/26/2000,5/31/2000,American Power Conversion,APCC,Mirage Resorts,MIR,M&A,Acquisition by MGM Grand,
6/5/2000,6/7/2000,Starbucks Corp,SBUX,Shared Medical Systems,SMS,M&A,Acquisition by Siemens,
6/13/2000,6/20/2000,Tiffany & Co,TIF,Silicon Graphics,SGI,Other,Spins off large interest in MIPS Technologies,
6/13/2000,6/16/2000,Novellus Systems,NVLS,Champion International,CHA,M&A,Acquisition by International Paper,
6/15/2000,6/16/2000,Charter One Financial,CF,MediaOne Group Inc,UMG,M&A,Acquisition by AT&T Corp,
6/19/2000,6/30/2000,Broadcom Corporation,BRCM,GTE Corp,GTE,M&A,Merger with Bell Atlantic,
6/21/2000,6/28/2000,Visteon Corp,VC,IKON Office Solutions,IKN,Failure,Lack of representation,
6/21/2000,6/28/2000,Mercury Interactive,MERQ,Milacron Inc,MZ,Failure,Market cap changes,
6/27/2000,6/30/2000,Qwest Communications Int'l,Q,US West Inc,USW,M&A,Merger with Qwest,
7/6/2000,7/12/2000,Stilwell Financial,SV,Kansas City Southern Ind,KSU,Other,Spins off Stilwell Financial,
7/6/2000,7/14/2000,"CIT Group, Inc",CIT,Union Pacific Resources Group,UPR,M&A,Acquisition by Anadarko Petroleum,
7/19/2000,7/26/2000,JDS Uniphase Corp,JDSU,Rite Aid,RAD,Failure,Lack of representation,
7/20/2000,7/27/2000,Palm Inc,PALM,3Com Corp,COMS,Other,Spins off large interest in Palm,
8/7/2000,8/21/2000,KeySpan Corp,KSE,New Century Energies,NCE,M&A,Acquisition by Northern States Power,
8/23/2000,8/29/2000,Devon Energy Corp,DVN,Great A & P,GAP,Failure,Market cap changes,
9/25/2000,9/29/2000,Avaya Inc.,AV,Owens Corning,OWC,Failure,Lack of representation,
9/25/2000,10/2/2000,Dynegy Inc,DYN,BestFoods Inc,BFO,M&A,Acquisition by Unilever,
9/27/2000,10/3/2000,King Pharmaceuticals,KG,Young & Rubicam,YNR,M&A,Acquisition by WPP Group,
10/3/2000,10/18/2000,Nabors Industries,NBR,Mallinckrodt Inc,MKG,M&A,Acquisition by Tyco International,
10/12/2000,10/16/2000,Power-One Inc,PWER,Unicom Corp,UCM,M&A,Acquisition by PECO Energy,
10/16/2000,10/23/2000,BroadVision Inc,BVSN,PaineWebber Group,PWJ,M&A,Acquisition by UBS,
10/25/2000,11/1/2000,NiSource Inc,NI,Columbia Energy Group,CG,M&A,Acquisition by NiSource,
10/31/2000,11/1/2000,EOG Resources,EOG,Eastern Enterprises,EFU,M&A,Acquisition by KeySpan Energy,
11/14/2000,11/21/2000,Forest Laboratories,FRX,Seagate Technology,SEG,M&A,Acquisition by Veritas,
11/15/2000,11/16/2000,Starwood Hotels & Resorts,HOT,Armstrong World,ACK,Failure,Lack of representation,
11/20/2000,11/24/2000,Chiron Corp,CHIR,Fort James Corp,FJ,M&A,Acquisition by Georgia Pacific,
11/27/2000,11/30/2000,Calpine Corp,CPN,Florida Progress,FPC,M&A,Acquisition by CP&L Energy,
11/29/2000,12/11/2000,MetLife Inc,MET,Seagram Co. Ltd,VO,M&A,Acquisition by Vivendi,
12/1/2000,12/1/2000,Robert Half International,RHI,Associates First Capital,AFS,M&A,Acquisition by Citigroup,
12/4/2000,12/8/2000,Allegheny Energy Inc,AYE,Bethlehem Steel,BS,Failure,Lack of representation,
12/4/2000,12/8/2000,Ambac Financial Group,ABK,Crown Cork & Seal,CCK,Failure,Lack of representation,
12/4/2000,12/8/2000,"Intuit, Inc",INTU,Owens-Illinois,OI,Failure,Lack of representation,
12/4/2000,12/8/2000,Symbol Technologies,SBL,Grace (W.R.) & Co. (New),GRA,Failure,Lack of representation,
12/5/2000,12/11/2000,QLogic Corp,QLGC,Polaroid Corp,PRD,Failure,Market cap changes,
12/5/2000,12/11/2000,Stryker Corp,SYK,Russell Corp,RML,Failure,Market cap changes,
12/5/2000,12/11/2000,Vitesse Semiconductor,VTSS,Springs Industries Inc,SMI,Failure,Market cap changes,
12/7/2000,12/13/2000,Aetna Inc. (New),AET,Aetna Inc. (Old),AET,Other,"Aetna (old) sells financials business, spins off U.S. healthcare division, which becomes Aetna (new)",
12/8/2000,12/12/2000,Kinder Morgan Inc,KMI,Nabisco Group Hldgs,NGH,M&A,Acquisition by RJ Reynolds,
12/12/2000,12/21/2000,Fluor Corp.,FLR,Massey Energy,MEE,Other,Spins off Fluor,
12/19/2000,12/29/2000,Applied Micro Circuits,AMCC,Morgan (J.P.) & Co,JPM,M&A,Acquisition by Chase Manhattan,
12/19/2000,1/12/2001,Noble Drilling Corp,NE,Time Warner Inc,TWX,M&A,Acquisition by AOL,
12/27/2000,1/30/2001,Jabil Circuit,JBL,Coastal Corp,CGP,M&A,Acquisition by El Paso,
2/5/2001,2/7/2001,Univision Communications,UVN,Union Carbide,UK,M&A,Acquisition by Dow Chemical,
2/21/2001,2/26/2001,Citizens Communications,CZN,U.S. Bancorp,USB,M&A,Acquisition by Firstar,
2/27/2001,2/28/2001,Cintas Corporation,CTAS,Summit Bancorp,SUB,M&A,Acquisition by FleetBoston Financial Corp.,
3/26/2001,3/30/2001,Concord EFS Inc,CEFT,Ceridian Corp,CEN,Other,Splits into Ceridian and Arbitron,
3/27/2001,4/2/2001,Mirant Corporation,MIR,Briggs & Stratton,BGG,Failure,Market cap changes,
3/27/2001,3/30/2001,FIserv Inc,FISV,Old Kent Financial,OK,M&A,Acquisition by Fifth Third Bancorp,
5/7/2001,5/11/2001,Pepsi Bottling Group,PBG,"Adaptec, Inc",ADPT,Other,Spins off Roxio,
5/22/2001,6/4/2001,TMP Worldwide,TMPW,"CIT Group, Inc",CIT,M&A,Acquisition by Tyco International,
5/30/2001,6/27/2001,John Hancock Financial,JHF,Harcourt General Inc,H,M&A,Tender offer from Reed Elsevier,
6/19/2001,6/22/2001,Zions Bancorp,ZION,ALZA Corp. Cl. A,AZA,M&A,Acquisition by Johnson & Johnson,
6/25/2001,6/29/2001,Rockwell Collins,COL,Longs Drug Stores,LDG,Failure,Market cap changes,
6/27/2001,7/6/2001,AT&T Wireless Services,AWE,Potlatch Corp,PCH,Failure,Market cap changes,
7/30/2001,8/3/2001,Family Dollar Stores,FDO,Cabletron Systems,CS,Other,Spins off large interest in Riverstone Networks,
7/31/2001,8/6/2001,Zimmer Holdings,ZMH,Timken Co,TKR,Failure,Market cap changes,
8/1/2001,8/2/2001,PMC-Sierra Inc,PMCS,Quaker Oats,OAT,M&A,Acquisition by PepsiCo,
8/22/2001,8/30/2001,CIENA Corp,CIEN,American General,AGC,M&A,Acquisition by AIG,
8/27/2001,8/29/2001,AmerisourceBergen Corp,ABC,ONEOK Inc,OKE,Failure,Market cap changes,
8/27/2001,9/4/2001,XL Capital,XL,Wachovia Corp,WB,M&A,Acquisition by First Union Corp,
8/29/2001,8/31/2001,International Game Technology,IGT,BroadVision Inc,BVSN,Failure,Lack of representation,
9/17/2001,9/20/2001,Immunex Corp,IMNX,Tosco Corp,TOS,M&A,Acquisition by Philips Petroleum,
10/3/2001,10/9/2001,Equity Office Properties,EOP,Texaco Inc,TX,M&A,Acquisition by Chevron,
10/4/2001,10/9/2001,TECO Energy,TE,Global Crossing Ltd,GX,Failure,Lack of representation,
11/1/2001,11/6/2001,Health Management Assoc,HMA,GPU Inc,GPU,M&A,Acquisition by FirstEnergy Corp.,
11/27/2001,11/30/2001,Equity Residential Prop Tr,EQR,National Service Ind,NSI,Other,Spins off Acuity Brands,
11/28/2001,11/29/2001,NVIDIA Corp,NVDA,Enron Corp,ENE,Failure,Lack of representation,
12/10/2001,12/14/2001,Jones Apparel Group,JNY,Homestake Mining,HM,M&A,Acquisition by Barrick Gold,
12/12/2001,12/12/2001,Genzyme Corp,GENZ,Ralston-Ralston Purina Gp,RAL,M&A,Acquisition by Nestle,
12/27/2001,12/31/2001,Waters Corporation,WAT,FMC Corp,FMC,Other,Spins off FMC Technologies,
1/16/2002,1/16/2002,Plum Creek Timber Co.,PCL,Kmart,KM,Failure,Lack of representation,
1/23/2002,1/29/2002,ACE Limited,ACE,Mead Corp,MEA,M&A,Merger with Westvaco,
1/23/2002,1/31/2002,Rational Software,RATL,Niagara Mohawk Power,NMK,M&A,Acquisition by National Grid Group,
2/6/2002,2/8/2002,Marshall & Ilsley Corp.,MI,Willamette Industries,WLL,M&A,Acquisition by Weyerhaeuser,
5/2/2002,5/3/2002,First Tennessee National,FTN,COMPAQ Computer,CPQ,M&A,Acquisition by Hewlett-Packard,
5/10/2002,5/10/2002,American Standard,ASD,Sapient Corp,SAPE,Failure,No longer meets standards of inclusion,
5/13/2002,5/14/2002,BJ Services,BJS,USAirways Group Inc,U,Failure,Lack of representation,
5/13/2002,5/14/2002,Apollo Group,APOL,WorldCom Inc.-WorldCom Group,WCOM,Failure,Lack of representation,
6/20/2002,6/26/2002,"Simon Property Group, Inc",SPG,Conexant Systems,CNXT,Other,Reorganization,
7/9/2002,7/19/2002,Prudential Financial,PRU,Alcan Inc,AL,Other,Not U.S. company,
7/9/2002,7/19/2002,United Parcel Service,UPS,Barrick Gold Corp,ABX,Other,Not U.S. company,
7/9/2002,7/19/2002,eBay Inc.,EBAY,"Inco, Ltd",N,Other,Not U.S. company,
7/9/2002,7/19/2002,Electronic Arts,ERTS,Nortel Networks Corp Hldg Co,NT,Other,Not U.S. company,
